alpha,L1,L2,L3,e1,e2,e3
0.663,-0.23209916261296037,1.1377969386333155,-1.248136589127485,2.7036064927908066,0.4102642616780439,0.02252430632785785
0.664,-0.23354912574921438,1.1374056384451667,-1.2483861818975694,2.691728979156061,0.41101654648678065,0.022653634892137606
0.665,-0.23499960676389375,1.1370141583258342,-1.2486348829040894,2.6799956310329445,0.4117693043556594,0.02278364221499098
0.666,-0.23645061015214963,1.1366224991515796,-1.2488826869976295,2.6684038374654335,0.41252253571394487,0.022914332387109826
0.667,-0.23790214043898772,1.1362306617953777,-1.2491295889880558,2.656951050006154,0.4132762409910176,0.023045709534374136
0.668,-0.2393542021796441,1.1358386471269077,-1.2493755836440696,2.6456347808556178,0.4140304206164055,0.023177777818262062
0.669,-0.24080679995997167,1.135446456012601,-1.2496206656927438,2.634452601067445,0.4147850750197495,0.023310541436275024
0.67,-0.24225993839682303,1.1350540893156373,-1.2498648298190993,2.623402138817025,0.4155402046308293,0.02344400462233057
0.671,-0.2437136221384445,1.1346615478959756,-1.2501080706655705,2.6124810777308443,0.41629580987954873,0.023578171647247993
0.672,-0.245167855864879,1.134268832610362,-1.250350382831603,2.601687155274095,0.417051891195947,0.02371304681912534
0.673,-0.24662264428836123,1.1338759443123543,-1.2505917608731232,2.5910181611942606,0.41780844901019154,0.023848634483822864
0.674,-0.24807799215373494,1.1334828838523308,-1.250832199302081,2.580471936018276,0.4185654837525879,0.023984939025387994
0.675,-0.24953390423886324,1.1330896520775184,-1.2510716925859329,2.570046369601277,0.41932299585356764,0.024121964866529275
0.676,-0.2509903853550516,1.1326962498320068,-1.2513102351471463,2.5597393997247853,0.42008098574369196,0.024259716469074197
0.677,-0.25244744034747235,1.1323026779567549,-1.2515478213627103,2.5495490107424197,0.4208394538536652,0.024398198334423547
0.678,-0.2539050740955976,1.1319089372896274,-1.2517844455635827,2.539473232271253,0.42159840061431075,0.024537415004057237
0.679,-0.2553632915136391,1.131515028665388,-1.2520201020341994,2.5295101379270033,0.4223578264566014,0.02467737105999222
0.68,-0.2568220975509923,1.1311209529157322,-1.2522547850119263,2.519657844101415,0.4231177318116383,0.024818071125287066
0.681,-0.2582814971926878,1.130726710869305,-1.252488488686531,2.50991450878013,0.42387811711065154,0.024959519864531887
0.682,-0.25974149545984593,1.1303323033517065,-1.252721207199614,2.5002783303995657,0.42463898278501316,0.02510172198437279
0.683,-0.2612020974101469,1.1299377311855177,-1.2529529346440893,2.4907475467411966,0.42540032926622545,0.025244682233997007
0.684,-0.262663308138293,1.1295429951903069,-1.2531836650635793,2.481320433861981,0.4261621569859341,0.02538840540568856
0.685,-0.2641251327764954,1.1291480961826554,-1.2534133924518795,2.4719953050593637,0.4269244663759167,0.02553289633532922
0.686,-0.26558757649495024,1.1287530349761679,-1.2536421107523612,2.4627705098697543,0.4276872578680899,0.025678159902951032
0.687,-0.26705064450233607,1.1283578123814977,-1.2538698138573878,2.453644433099064,0.4284505318944976,0.025824201033278146
0.688,-0.26851434204630753,1.127962429206344,-1.2540964956077032,2.4446154938842217,0.4292142888873356,0.02597102469629405
0.689,-0.26997867441400614,1.1275668862554813,-1.2543221497918489,2.4356821447844386,0.4299785292789338,0.02611863590778578
0.69,-0.2714436469325686,1.127171184330777,-1.2545467701455424,2.426842870901201,0.4307432535017544,0.026267039729921445
0.691,-0.27290926496965273,1.1267753242311986,-1.2547703503510386,2.418096189025859,0.43150846198840276,0.026416241271843065
